Essential Question,Domain,Type,Sector,Indicator,Metric,Data Element,Ed-Fi Availability,Ed-Fi Data Element Path,CEDS Availability,CEDS Data Element Path V11,CEDS Data Element Path V13,Other Data Sources,Data Capture Method,Data Status,Notes,Classification,CEDS Queries V11,CEDS Queries V13,Column 2,Column 21,Column 4,Column 5,Column 6,Column 7,Column 8
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,E-W System Conditions,PS,Expenditures per student,Total instruction and student service expenditures per FTE student based on 12-month enrollment,Student FTE status,Found,StudentSchoolAssociation.FullTimeEquivalency,,,,ACHE Data Dictionary,Automated,Available,,,CEDS DWH does not contain elements ,CEDS DWH does not contain elements ,,,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,E-W System Conditions,PS,Expenditures per student,Total instruction and student service expenditures per FTE student based on 12-month enrollment,Expenditures per student (postsecondary),Not Found,N/A,,,,,Semi-Automated,Partially Available,Higher Ed Appropriations Per Student dashboard  shows state postsecondary appropriations per student compared to other states. Does not show expenditures.,,CEDS DWH does not contain elements ,CEDS DWH does not contain elements ,,,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,E-W System Conditions,PK,"Access to quality, culturally responsive curricula","Access to quality, culturally responsive curricula","Percentage of teachers regularly using standards-aligned, culturally responsive curricula",Not Found,N/A,,,,,Manual,Not Available,,Heavy Lift,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,E-W System Conditions,K12,"Access to quality, culturally responsive curricula","Access to quality, culturally responsive curricula","Percentage of teachers regularly using standards-aligned, culturally responsive curricula",Not Found,N/A,,,,,Manual,Not Available,,Heavy Lift,CEDS Connect not available,CEDS Connect not available,,,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,E-W System Conditions,PS,"Access to quality, culturally responsive curricula","Access to quality, culturally responsive curricula","Percentage of teachers regularly using standards-aligned, culturally responsive curricula",Not Found,N/A,,,,,Manual,Not Available,,Heavy Lift,CEDS Connect not available,CEDS Connect not available,,,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,E-W System Conditions,PK,Classroom observations of instructional practice,"Scores on measures of teacher–child interactions, such as the Classroom Assessment Scoring System (CLASS),  the Early Childhood Environment Rating Scale (ECERS) Interactions subscale,  or the Assessing Classroom Sociocultural Equity Scale (ACSES)  (which assesses equitable classroom interactions)",Results on teacher-child interaction measure,Likely not available,"PerformanceEvaluationRating.PerformanceEvaluationRatingResult (TPDM), EvaluationRatingRatingResult.Rating (TPDM)",Not Found,N/A,N/A,,Manual,Not Available,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,E-W System Conditions,K12,Classroom observations of instructional practice,"Teachers’ overall and subscale scores on an observation rubric associated with an educator observation system; examples of common frameworks include the Danielson’s Framework for Teaching ,   and the Marzano Causal Teacher Evaluation Model",Overall teacher observation score,Found,"PerformanceEvaluationRating.PerformanceEvaluationRatingResult (TPDM), EvaluationRatingRatingResult.Rating (TPDM)","Not Found in V11 
Found in V13",N/A,"FactK12StaffAssessments.AssessmentResultScoreValueScaleScore
",Alabama Teacher Growth Program,Automated,Available,Data not publicly available,,"Available fields:
                AssessmentResultScoreValueScaleScore is not null
                AssessmentTypeCode = 'Observation' 
               AssessmentIdentifier ='overall assessment code'

Missing tables in CEDS DWH to store relation between staff and assessment results
Missing column in CEDS DWH :Staff Evaluation System","select
    'Overall teacher observation score (K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
     CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks 
from RDS.FactK12StaffAssessments f
join RDS.DimAssessments d
on f.AssessmentId = d.DimAssessmentId
where d.AssessmentTypeAdministeredDescription like '%observation%' 
    and f.AssessmentResultScoreValueScaleScore is not null;",,,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,E-W System Conditions,K12,Classroom observations of instructional practice,"Teachers’ overall and subscale scores on an observation rubric associated with an educator observation system; examples of common frameworks include the Danielson’s Framework for Teaching ,   and the Marzano Causal Teacher Evaluation Model",Subscale observation scores,Found,"PerformanceEvaluationRating.PerformanceEvaluationRatingResult (TPDM), EvaluationRatingRatingResult.Rating (TPDM)","Not Found in V11 
Found in V13",N/A,"FactK12StaffAssessments.AssessmentResultScoreValueScaleScore
",Alabama Teacher Growth Program,Automated,Available,Data not publicly available,,"Available fields:
                AssessmentResultScoreValueScaleScore is not null
                AssessmentTypeCode = 'Observation' 
               AssessmentIdentifier =subscale assessment code'

Missing tables in CEDS DWH to store relation between staff and assessment results
Missing column in CEDS DWH :Staff Evaluation System","select
    'Subscale observation scores (K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
     CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks 
from RDS.FactK12StaffAssessments f
join RDS.DimAssessments d
on f.AssessmentId = d.DimAssessmentId
where d.AssessmentTypeAdministeredDescription like '%observation%' 
    and f.AssessmentResultScoreValueScaleScore is not null;",,,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,E-W System Conditions,PS,Classroom observations of instructional practice,"Postsecondary: There are currently no widely used standardized rubrics for peer observations of college teaching, though multiple researchers and universities have produced guidance surrounding the peer observation process",Instructor observation results,Likely not available,"PerformanceEvaluationRating.PerformanceEvaluationRatingResult (TPDM), EvaluationRatingRatingResult.Rating (TPDM)",Not Found,N/A,N/A,,Manual,Not Available,,,"
Missing tables in CEDS DWH to store relation between  PS staff and assessment results
","
Missing tables in CEDS DWH to store relation between  PS staff and assessment results
",,,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,Outcomes & Milestones,K12,Early grades on track,"Percentage of students in grades 1 and 2 meeting grade-level math and reading benchmarks, with an attendance rate of 90 percent or higher, and no in- or out-of-school suspensions",Student grade level,Found,StudentSchoolAssociation.EntryGradeLevel,Found,FactK12Enrollments.EntryGradeId,FactK12Enrollments.EntryGradeId,ALSDE Data Code Manual,Automated,Available,,,"select
        'Number of Students (Grade 1 and 2)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks
    from
        RDS.FactK12StudentEnrollments f
        join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
    where
         g.GradeLevelCode in ('01', '02')","select
        'Number of Students (Grade 1 and 2)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks
    from
        RDS.FactK12StudentEnrollments f
        join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
    where
         g.GradeLevelCode in ('01', '02')",,,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,Outcomes & Milestones,K12,Early grades on track,"Percentage of students in grades 1 and 2 meeting grade-level math and reading benchmarks, with an attendance rate of 90 percent or higher, and no in- or out-of-school suspensions",Math proficiency (or math assessment score) (Grades 1 & 2),Found,"

Assessment.AssessmentIdentifier, StudentAssessmentPerformanceLevel.PerfomanceLevelDescriptorId
PerformanceLevelDescriptor.DescriptorId",Found,FactK12StudentAssessments.AssessmentId,FactK12StudentAssessments.AssessmentId,Student Data Application Guide,Automated,Available,p. 88,,"select  
        'Students meet Assessment Benchmark (K-12)' AS DataElementName,
                'RecordCount' AS CharacteristicType,  
                count(1) AS Value,
                NULL AS Remarks
                from rds.FactK12StudentAssessments ase  
                join  RDS.FactK12StudentEnrollments f on f.K12StudentId = ase.K12StudentId
        join RDS.DimAssessments da on da.DimAssessmentId = ase.AssessmentId
                join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
                where  ase.AssessmentResultScoreValueScaleScore is not null
                        and da.AssessmentTypeCode = 'Benchmark' 
                        and da.AssessmentAcademicSubjectCode in ('01166')","select  
        'Students meet Assessment Benchmark (K-12)' AS DataElementName,
                'RecordCount' AS CharacteristicType,  
                count(1) AS Value,
                NULL AS Remarks
                from rds.FactK12StudentAssessments ase  
                join  RDS.FactK12StudentEnrollments f on f.K12StudentId = ase.K12StudentId
        join RDS.DimAssessments da on da.DimAssessmentId = ase.AssessmentId
                join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
                where  ase.AssessmentResultScoreValueScaleScore is not null
                        and da.AssessmentTypeCode = 'Benchmark' 
                        and da.AssessmentAcademicSubjectCode in ('01166')",,,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,Outcomes & Milestones,K12,Early grades on track,"Percentage of students in grades 1 and 2 meeting grade-level math and reading benchmarks, with an attendance rate of 90 percent or higher, and no in- or out-of-school suspensions",Reading proficiency (or reading assessment score) (Grades 1 & 2),Found,"

Assessment.AssessmentIdentifier, StudentAssessmentPerformanceLevel.PerfomanceLevelDescriptorId
PerformanceLevelDescriptor.DescriptorId",Found,FactK12StudentAssessments.AssessmentId,FactK12StudentAssessments.AssessmentId,Student Data Application Guide,Automated,Available,p. 88,,"select  
        'Students meet Assessment Benchmark (K-12)' AS DataElementName,
                'RecordCount' AS CharacteristicType,  
                count(1) AS Value,
                NULL AS Remarks
                from rds.FactK12StudentAssessments ase  
                join  RDS.FactK12StudentEnrollments f on f.K12StudentId = ase.K12StudentId
        join RDS.DimAssessments da on da.DimAssessmentId = ase.AssessmentId
                join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
                where  ase.AssessmentResultScoreValueScaleScore is not null
                        and da.AssessmentTypeCode = 'Benchmark' 
                        and da.AssessmentAcademicSubjectCode in ('00560')","select  
        'Students meet Assessment Benchmark (K-12)' AS DataElementName,
                'RecordCount' AS CharacteristicType,  
                count(1) AS Value,
                NULL AS Remarks
                from rds.FactK12StudentAssessments ase  
                join  RDS.FactK12StudentEnrollments f on f.K12StudentId = ase.K12StudentId
        join RDS.DimAssessments da on da.DimAssessmentId = ase.AssessmentId
                join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
                where  ase.AssessmentResultScoreValueScaleScore is not null
                        and da.AssessmentTypeCode = 'Benchmark' 
                        and da.AssessmentAcademicSubjectCode in ('00560')",,,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,Outcomes & Milestones,K12,Early grades on track,"Percentage of students in grades 1 and 2 meeting grade-level math and reading benchmarks, with an attendance rate of 90 percent or higher, and no in- or out-of-school suspensions",Student attendance rate (Grades 1 & 2),Not Found,N/A,Found,FactK12StudentAttendanceRates.StudentAttendanceRate,FactK12StudentAttendanceRates.StudentAttendanceRate,ALSDE Data Code Manual,Automated,Available,,,"
select
        'Attendance rate (K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(a.StudentAttendanceRate) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks
    from
        RDS.FactK12StudentEnrollments f
        join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
        join RDS.DimSchoolYears y on f.SchoolYearId = y.DimSchoolYearId
        join RDS.DimDates entry_dt on entry_dt.DimDateId = f.EnrollmentEntryDateId
        join RDS.DimDates exit_dt on exit_dt.DimDateId = f.EnrollmentExitDateId
        join RDS.FactK12StudentAttendanceRates a on f.K12StudentId = a.K12StudentId
        and f.SchoolYearId = a.SchoolYearId
                join RDS.FactK12StudentDisciplines d on f.K12StudentId = d.K12StudentId
        and f.SchoolYearId = d.SchoolYearId
        join RDS.DimDates discp_dt on discp_dt.DimDateId = d.DisciplinaryActionStartDateId
    where
        discp_dt.DateValue between entry_dt.DateValue
        and exit_dt.DateValue;","
select
        'Attendance rate (K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(a.StudentAttendanceRate) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks
    from
        RDS.FactK12StudentEnrollments f
        join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
        join RDS.DimSchoolYears y on f.SchoolYearId = y.DimSchoolYearId
        join RDS.DimDates entry_dt on entry_dt.DimDateId = f.EnrollmentEntryDateId
        join RDS.DimDates exit_dt on exit_dt.DimDateId = f.EnrollmentExitDateId
        join RDS.FactK12StudentAttendanceRates a on f.K12StudentId = a.K12StudentId
        and f.SchoolYearId = a.SchoolYearId
                join RDS.FactK12StudentDisciplines d on f.K12StudentId = d.K12StudentId
        and f.SchoolYearId = d.SchoolYearId
        join RDS.DimDates discp_dt on discp_dt.DimDateId = d.DisciplinaryActionStartDateId
    where
        discp_dt.DateValue between entry_dt.DateValue
        and exit_dt.DateValue;",,,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,Outcomes & Milestones,K12,Early grades on track,"Percentage of students in grades 1 and 2 meeting grade-level math and reading benchmarks, with an attendance rate of 90 percent or higher, and no in- or out-of-school suspensions",In school suspension (Grades 1 & 2),Found,DisciplineAction.DisciplineDescriptor,Found,FactK12StudentDisciplines.DisciplineStatusId,FactK12StudentDisciplines.DisciplineStatusId,ALSDE Data Code Manual,Automated,Available,,,"SELECT
    'In School Suspensions (K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
    CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks
FROM RDS.FactK12StudentDisciplines fact
JOIN RDS.DimDisciplineStatuses discStat ON fact.DisciplineStatusId = discStat.DimDisciplineStatusId
WHERE discStat.DisciplinaryActionTakenCode IN 
('03100' -- Suspension, in-school
)","SELECT
    'In School Suspensions (K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
    CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks
FROM RDS.FactK12StudentDisciplines fact
JOIN RDS.DimDisciplineStatuses discStat ON fact.DisciplineStatusId = discStat.DimDisciplineStatusId
WHERE discStat.DisciplinaryActionTakenCode IN 
('03100' -- Suspension, in-school
)",,,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,Outcomes & Milestones,K12,Early grades on track,"Percentage of students in grades 1 and 2 meeting grade-level math and reading benchmarks, with an attendance rate of 90 percent or higher, and no in- or out-of-school suspensions",Out of school suspension (Grades 1 & 2),Found,DisciplineAction.DisciplineDescriptor,Found,FactK12StudentDisciplines.DisciplineStatusId,FactK12StudentDisciplines.DisciplineStatusId,ALSDE Data Code Manual,Automated,Available,,,"SELECT
    'Out of School Suspensions (K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
    CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks
FROM RDS.FactK12StudentDisciplines fact
JOIN RDS.DimDisciplineStatuses discStat ON fact.DisciplineStatusId = discStat.DimDisciplineStatusId
WHERE discStat.DisciplinaryActionTakenCode IN 
        ('03154' -- Suspension, out-of-school, greater than 10 consecutive days
        ,'03155' -- Suspension, out-of-school, separate days culminating to more than 10 school days
        ,'03101' -- Suspension, out-of-school, with services
        ,'03102' -- Suspension, out-of-school, without services
		)","SELECT
    'Out of School Suspensions (K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
    CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks
FROM RDS.FactK12StudentDisciplines fact
JOIN RDS.DimDisciplineStatuses discStat ON fact.DisciplineStatusId = discStat.DimDisciplineStatusId
WHERE discStat.DisciplinaryActionTakenCode IN 
        ('03154' -- Suspension, out-of-school, greater than 10 consecutive days
        ,'03155' -- Suspension, out-of-school, separate days culminating to more than 10 school days
        ,'03101' -- Suspension, out-of-school, with services
        ,'03102' -- Suspension, out-of-school, without services
		)",,,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,E-W System Conditions,PK,Educator retention,Teacher retention: Percentage of teachers who return to teaching in the same school from year to year,"Job title or position type (teacher or educator, prior and current year)",Likely not available,StaffEducationOrganizationAssignmentAssociation.PositionTitle (would need data from previous years),,,,ALSDE Data Code Manual,Automated,Available,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,E-W System Conditions,PK,Educator retention,Teacher retention: Percentage of teachers who return to teaching in the same school from year to year,School or program ID (prior and current year),Likely not available,StaffSchoolAssociaation.School,,,,,Manual,Not Available,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,E-W System Conditions,PK,Educator retention,"School leader tenure: Percentage of school leaders who have served in their current positions for less than two years, two to three years, and four or more years",Job title or position type (school leader or administrator),Likely not available,"StaffEducationOrganizationAssignmentAssociation.PositionTitle,  StaffEducationOrganizationAssignmentAssociation.StaffClassificationDescriptor",,,,ALSDE Data Code Manual,Automated,Available,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,E-W System Conditions,PK,Educator retention,"School leader tenure: Percentage of school leaders who have served in their current positions for less than two years, two to three years, and four or more years",Years in current position,Likely not available,StaffEducationOrganizationAssignmentAssociation.BeginDate,,,,,Manual,Not Available,"We could not find a data element for years in current position, but it is likely that the state could calculate this metric using historical data.",,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,E-W System Conditions,K12,Educator retention,Teacher retention: Percentage of teachers who return to teaching in the same school from year to year,"Job title or position type (teacher or educator, prior and current year)",Found,"StaffEducationOrganizationAssignmentAssociation.PositionTitle,  StaffEducationOrganizationAssignmentAssociation.StaffClassificationDescriptor (would need data from previous years)",Found,DimPeople.PositionTitle,DimPeople.PositionTitle,ALSDE Data Code Manual,Automated,Available,,,"SELECT
    'Number of Teachers with Position Title Info (K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
    CAST(COUNT(distinct p.PositionTitle) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks
 from rds.DimPeople p join staff_ret r
on p.DimPersonId = r.K12StaffId","SELECT
    'Number of Teachers with Position Title Info (K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
    CAST(COUNT(distinct p.PositionTitle) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks
 from RDS.DimPeople_Current p join staff_ret r
on p.DimPersonId = r.K12StaffId","With staff_ret as (SELECT 
        f.K12StaffId,f.K12SchoolId
    FROM RDS.FactK12StaffCounts f
    JOIN RDS.DimPeople p on f.K12StaffId = p.K12StaffStaffMemberIdentifierState
   JOIN RDS.DimK12StaffCategories b 
        ON b.DimK12StaffCategoryId = f.K12StaffCategoryId
    WHERE b.K12StaffClassificationCode IN ('KindergartenTeachers', 'SecondaryTeachers', 'Elementary Teachers')
    GROUP BY f.K12StaffId,f.K12SchoolId
    HAVING COUNT(DISTINCT f.SchoolYearId) > 1
) 
SELECT
    'Number of Teachers with Position Title Info greater than 1 year of retention (K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
    CAST(COUNT(distinct p.PositionTitle) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks
 from rds.DimPeople p join staff_ret r
on p.DimPersonId = r.K12StaffId",,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,E-W System Conditions,K12,Educator retention,Teacher retention: Percentage of teachers who return to teaching in the same school from year to year,School assignment or school ID (prior and current year),Found,StaffSchoolAssociation.School,Found,FactK12StaffCounts.K12SchoolId,FactK12StaffCounts.K12SchoolId,ALSDE Data Code Manual,Automated,Available,Must be cross referenced over multiple years,,"
SELECT
    'Number of Schools  (K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
    CAST(COUNT(distinct f.K12SchoolId) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks
 from RDS.FactK12StaffCounts f
    JOIN RDS.DimK12StaffCategories b 
        ON b.DimK12StaffCategoryId = f.K12StaffCategoryId
    WHERE b.K12StaffClassificationCode IN ('KindergartenTeachers', 'SecondaryTeachers', 'Elementary Teachers')","
SELECT
    'Number of Schools  (K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
    CAST(COUNT(distinct f.K12SchoolId) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks
 from RDS.FactK12StaffCounts f
    JOIN RDS.DimK12StaffCategories b 
        ON b.DimK12StaffCategoryId = f.K12StaffCategoryId
    WHERE b.K12StaffClassificationCode IN ('KindergartenTeachers', 'SecondaryTeachers', 'Elementary Teachers')","With staff_ret as (SELECT 
        f.K12StaffId,f.K12SchoolId
    FROM RDS.FactK12StaffCounts f
    JOIN RDS.DimK12StaffCategories b 
        ON b.DimK12StaffCategoryId = f.K12StaffCategoryId
    WHERE b.K12StaffClassificationCode IN ('KindergartenTeachers', 'SecondaryTeachers', 'Elementary Teachers')
    GROUP BY f.K12StaffId,f.K12SchoolId
    HAVING COUNT(DISTINCT f.SchoolYearId) > 1
) 
SELECT
    'Number of Schools with greater than 1 year Staff retention (K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
    CAST(COUNT(distinct K12SchoolId) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks
 from staff_ret",,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,E-W System Conditions,K12,Educator retention,"School leader tenure: Percentage of school leaders who have served in their current positions for less than two years, two to three years, and four or more years",Position type (school leader or administrator),Found,"StaffEducationOrganizationAssignmentAssociation.PositionTitle,  StaffEducationOrganizationAssignmentAssociation.StaffClassificationDescriptor",Found,DimPeople.PositionTitle,DimPeople.PositionTitle,ALSDE Data Code Manual,Automated,Available,,,"SELECT
    'Number of Administators retained  (K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
    CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks
FROM (
    SELECT 
        f.K12StaffId
    FROM RDS.FactK12StaffCounts f
    JOIN RDS.DimK12StaffCategories b 
        ON b.DimK12StaffCategoryId = f.K12StaffCategoryId
    WHERE b.K12StaffClassificationCode IN ('Administrators', 'School Administrators')
    GROUP BY f.K12StaffId
    HAVING COUNT(DISTINCT f.SchoolYearId) > 1
) a;
","SELECT
    'Number of Administators retained  (K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
    CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks
FROM (
    SELECT 
        f.K12StaffId
    FROM RDS.FactK12StaffCounts f
    JOIN RDS.DimK12StaffCategories b 
        ON b.DimK12StaffCategoryId = f.K12StaffCategoryId
    WHERE b.K12StaffClassificationCode IN ('Administrators', 'School Administrators')
    GROUP BY f.K12StaffId
    HAVING COUNT(DISTINCT f.SchoolYearId) > 1
) a;
",,,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,E-W System Conditions,K12,Educator retention,"School leader tenure: Percentage of school leaders who have served in their current positions for less than two years, two to three years, and four or more years",Years in current position,Found,StaffEducationOrganizationAssignmentAssociation.BeginDate,Not Found,N/A,N/A,,Manual,Not Available,"We could not find a data element for years in current position, but it is likely that the state could calculate this metric using historical data.",,"Missing elements in CEDS DWH:
Professional Educational Job 
Classification
Years of Prior Teaching Experience","Missing elements in CEDS DWH:
Professional Educational Job 
Classification
Years of Prior Teaching Experience",,,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,E-W System Conditions,PK,Teacher credentials,Percentage of lead teachers with at least a bachelor’s degree,Position type (lead pre-K teacher status),Likely not available,StaffEducationOrganizationAssignmentAssociation.StaffClassification,,,,ALSDE Data Code Manual,Automated,Available,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,E-W System Conditions,PK,Teacher credentials,Percentage of lead teachers with at least a bachelor’s degree,Highest level of education completed,Likely not available,Staff.HighestCompletedLevelOfEducation,,,,ALSDE Data Code Manual,Automated,Available,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,E-W System Conditions,PK,Teacher credentials,Percentage of lead teachers with specialized training in pre-K,Position type (lead pre-K teacher status),Likely not available,StaffEducationOrganizationAssignmentAssociation.StaffClassification,,,,ALSDE Data Code Manual,Automated,Available,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,E-W System Conditions,PK,Teacher credentials,Percentage of lead teachers with specialized training in pre-K,Credential or certification type,Likely not available,"Credential.CredentialType, Credential.Person",,,,ALSDE Data Code Manual,Automated,Available,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,E-W System Conditions,K12,Teacher credentials,"Percentage of courses taught by full-time equivalent (FTE) teachers (that is, teachers other than substitutes or those with emergency or provisional licenses)",Course ID or course title,Found,Credential.AcademicSubjectDescriptor,Found,FactK12StudentCourseSections.K12CourseId,FactK12StudentCourseSections.StateK12CourseId,Student Data Application Guide,Automated,Available,p. 57,,"select
        'Number of Courses(K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks 
from RDS.FactK12StudentCourseSections f
join RDS.DimK12Courses c
on f.K12CourseId = c.DimK12CourseId","select
        'Number of Courses(K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks 
from RDS.FactK12StudentCourseSections f
join RDS.DimK12Courses c
on f.StateK12CourseId = c.DimK12CourseId",,,,,,,
