DataElementName,OriginalDataElementName,ClusterOnlyCategory,SuggestedCategory,Sector,Notes,Indicators,IsDisaggregate
Restraint and seclusion for discipline (PK),Disciplinary use of restraint and seclusion (PK),School Climate,Discipline & Behavior,Early Learning,Positive behavior,FALSE
Restraint and seclusion for safety (K-12),Restraint; Seclusion,School Climate,Discipline & Behavior,K-12,Equitable discipline practices,FALSE
Restraint and seclusion for safety (PK),Restraint (PK); Seclusion (PK),School Climate,Discipline & Behavior,Early Learning,Equitable discipline practices,FALSE
SAT completion,SAT completion,Postsecondary Transitions,Assessments,K-12,SAT and ACT participation and performance,FALSE
SAT score,SAT score,Postsecondary Transitions,Assessments,K-12,SAT and ACT participation and performance,FALSE
School assignment (prior and current year),School assignment or school ID (prior and current year); School or program ID (prior and current year),Teaching Effectiveness,Staff & Educators,"Early Learning, K-12",Educator retention,FALSE
School value-added,School value-added,School Climate,Academic Performance,"K-12, Postsecondary",Institutions' contributions to student outcomes,FALSE
Self-efficacy surveys (K-12),Self-efficacy survey results (K-12),Social-Emotional Learning,Social-Emotional Learning (SEL),K-12,Self-efficacy,FALSE
Self-efficacy surveys (Postsecondary),Self-efficacy survey results (Postsecondary),Postsecondary Success,Social-Emotional Learning (SEL),Postsecondary,Self-efficacy,FALSE
Self-efficacy surveys (Workforce),Self-efficacy survey results (Workforce),Workforce Success,Social-Emotional Learning (SEL),Workforce,Self-efficacy,FALSE
Self-management surveys (K-12),Results on self-management survey (K-12); Social awareness survey results (K-12),Social-Emotional Learning,Social-Emotional Learning (SEL),K-12,Self-management; Social awareness,FALSE
Self-management surveys (Postsecondary),Self-management survey results (Postsecondary),Postsecondary Success,Social-Emotional Learning (SEL),Postsecondary,Self-management,FALSE
Self-management surveys (Workforce),Self-management survey results (Workforce),Workforce Success,Social-Emotional Learning (SEL),Workforce,Self-management,FALSE
Sense of belonging surveys,Results on workplace sense of belonging survey,Workforce Success,Social-Emotional Learning (SEL),Workforce,Inclusive environments,FALSE
Sense of belonging surveys (K-12),Results on K-12 sense of belonging survey,Social-Emotional Learning,Social-Emotional Learning (SEL),K-12,Inclusive environments,FALSE
Sense of belonging surveys (PK),Results on Pre-K sense of belonging questionnaire,Kindergarten Readiness,Social-Emotional Learning (SEL),Early Learning,Inclusive environments,FALSE
Sense of belonging surveys (Postsecondary),Results on campus sense of belonging survey,Postsecondary Success,Social-Emotional Learning (SEL),Postsecondary,Inclusive environments,FALSE
SGP for standardized assessments,"SGP for standardized assessments (subject specific for reading/literacy, math, and science)",Postsecondary Transitions,Assessments,K-12,Teachers' contributions to student learning growth,FALSE
SNAP eligibility,SNAP eligibility,School Climate,Financial Aid & Affordability,"Early Learning, K-12, Postsecondary, Workforce",Food Security,FALSE
SNAP participation,SNAP participation,School Climate,Financial Aid & Affordability,"Early Learning, K-12, Postsecondary, Workforce",Food Security,FALSE
Social awareness teacher ratings,Results on social awareness teacher rating,Social-Emotional Learning,Social-Emotional Learning (SEL),"Early Learning, K-12",Social awareness,FALSE
Social capital surveys (K-12),Social capital survey results (K-12),Social-Emotional Learning,Social-Emotional Learning (SEL),K-12,Social capital,FALSE
Social capital surveys (Postsecondary),Social capital survey results (Postsecondary),Postsecondary Success,Social-Emotional Learning (SEL),Postsecondary,Social capital,FALSE
Social capital surveys (Workforce),Social capital survey results (Workforce),Workforce Success,Social-Emotional Learning (SEL),Workforce,Social capital,FALSE
Social proficiency performance assessments (Postsecondary),Social proficiency performance assessment results (Postsecondary),Postsecondary Success,Social-Emotional Learning (SEL),Postsecondary,Social awareness,FALSE
Social proficiency performance assessments (Workforce),Social proficiency performance assessment results (Workforce),Workforce Success,Social-Emotional Learning (SEL),Workforce,Social awareness,FALSE
Social services offered,Social services offered,School Climate,Student Support Services,"Early Learning, K-12, Postsecondary","Access to health, mental health, and social supports",FALSE
Sociocultural observational assessments,Results on sociocultural observational assessment,Social-Emotional Learning,Social-Emotional Learning (SEL),"Early Learning, K-12, Postsecondary, Workforce",Inclusive environments,FALSE
Staff FTE status,Staff FTE status,Teaching Effectiveness,Staff & Educators,"Early Learning, K-12, Postsecondary","Access to college and career advising; Access to health, mental health, and social supports; Teacher credentials",FALSE
Staff race/ethnicity,Staff race/ethnicity,Teaching Effectiveness,Demographics,"Early Learning, K-12, Postsecondary",Representational racial and ethnic diversity of educators,FALSE
State standardized test (Math proficiency),Math proficiency on state standardized test (Grade 3); Math proficiency on state standardized test (Grade 8); Math proficiency on state standardized test (Grades 9-12),Postsecondary Transitions,Assessments,K-12,Math and reading proficiency in grade 3; Math and reading proficiency in grade 8; Math and reading proficiency in high school,FALSE
State standardized test (Reading proficiency),Reading proficiency on state standardized test (Grade 3); Reading proficiency on state standardized test (Grade 8); Reading proficiency on state standardized test (Grades 9-12),Postsecondary Transitions,Assessments,K-12,Math and reading proficiency in grade 3; Math and reading proficiency in grade 8; Math and reading proficiency in high school,FALSE
Student attendance rate (K-12),Student attendance rate (Grade 1 & 2); Student attendance rate (Grade 6); Student attendance rate (Grade 8); Student attendance rate (Grade 9); Student attendance rate (Grades 1 & 2),School Climate,Attendance & Enrollment,K-12,6th grade on track; 8th grade on track; 9th grade on track; Early grades on track,FALSE
Student attendance rate (PK),Attendance intensity; Student attendance rate,School Climate,Attendance & Enrollment,Early Learning,Consistent attendance,TRUE
Student course enrollment record,"AP enrollment; Algebra 1 enrollment; CTE course enrollment; Dual credit enrollment; Early college course enrollment (AP, IB, and dual enrollment); Higher-level math enrollment; IB enrollment",Postsecondary Transitions,Academic Coursework,"K-12, Postsecondary",Access to early college coursework; CTE pathway concentration; Early college coursework completion; Equitable placement in rigorous coursework; Industry-recognized credential,FALSE
Student from migrant family household,Student from migrant family household,School Climate,Demographics,"Early Learning, K-12, Postsecondary",,,TRUE
Student FTE status,Student FTE status,School Climate,Attendance & Enrollment,"K-12, Postsecondary",Expenditures per student,FALSE
Student grade level,7th grade student status; 8th grade student status,Postsecondary Transitions,Attendance & Enrollment,K-12,Successful completion of Algebra 1 by 9th grade,FALSE
Student grade level (K-12),Student grade level (Grade 6); Student grade level (Grade 8); Student grade level (Grades 1 & 2); Student grade level or year,Postsecondary Transitions,Attendance & Enrollment,K-12,6th grade on track; Early grades on track; Math and reading proficiency in grade 8; Participation in work-based learning,FALSE
Student grade level (PK),Student grade level,School Climate,Attendance & Enrollment,Early Learning,6th grade on track; 8th grade on track; 9th grade on track; College applications; CTE pathway concentration; Early grades on track; FAFSA completion; Grade point average (MS+HS); Industry-recognized credential; Math and reading proficiency in grade 3; Math and reading proficiency in grade 8; Math and reading proficiency in high school; Participation in work-based learning; SAT and ACT participation and performance; Successful completion of Algebra 1 by 9th grade,FALSE
Student or family socioeconomic status,Student or family socioeconomic status,School Climate,Demographics,"Early Learning, K-12, Postsecondary, Workforce",School and workplace socioeconomic diversity,FALSE
Student parenting status,Student parenting status,School Climate,Demographics,"K-12, Postsecondary",,,TRUE
Student race/ethnicity,Race/ethnicity; Student race/ethnicity,School Climate,Demographics,"Early Learning, K-12, Postsecondary",Neighborhood racial diversity; Representational racial and ethnic diversity of educators; School and workplace racial and ethnic diversity,FALSE
Student socioeconomic status,Student socioeconomic status,School Climate,Demographics,"Early Learning, K-12, Postsecondary",School and workplace socioeconomic diversity,FALSE
Subscale observation scores,Subscale observation scores,Teaching Effectiveness,Staff & Educators,"Early Learning, K-12",Classroom observations of instructional practice,FALSE
Suspensions and expulsions (K-12),Expulsion; Expulsions; Expulsions (Grade 6); Expulsions (Grade 8); Expulsions (K12); In school suspension; In school suspension (Grade 1 & 2); In school suspension (K12); In school suspension (Grades 1 & 2); Out of school suspension; Out of school suspension (K12); Out of school suspension (Grades 1 & 2); Suspension (Grade 6); Suspension (Grade 8); Suspension (Grade 9); Suspensions,School Climate,Discipline & Behavior,K-12,6th grade on track; 8th grade on track; 9th grade on track; Early grades on track; Equitable discipline practices; Positive behavior,FALSE
Suspensions and expulsions (PK),Expulsion (PK); Expulsions (PK); In school suspension (PK); Out of school suspension (PK); Suspensions (PK),School Climate,Discipline & Behavior,Early Learning,Equitable discipline practices; Positive behavior,FALSE
Teacher effectiveness student surveys (K-12),Results on teacher effectiveness student survey,Teaching Effectiveness,Staff & Educators,K-12,Student perceptions of teaching,FALSE
Teacher effectiveness student surveys (Postsecondary),Results on instructor effectiveness student survey,Teaching Effectiveness,Staff & Educators,Postsecondary,Student perceptions of teaching,FALSE
Teacher qualification or certification type,Teacher qualification or certification type,Teaching Effectiveness,Staff & Educators,"Early Learning, K-12",Teacher credentials,FALSE
Teacher reports of executive function,Results on teacher reports of executive function; Results on teacher reports of executive function (PK),Kindergarten Readiness,Early Learning,Early Learning,Kindergarten readiness: approaches to learning,FALSE
Teacher reports of social-emotional development,Results on teacher reports of social-emotional development; Results on teacher reports of social-emotional development (PK),Kindergarten Readiness,Early Learning,Early Learning,Kindergarten readiness: social-emotional development,FALSE
Teacher-child interaction measure (K-12),Results on teacher-child interaction measure,Teaching Effectiveness,Staff & Educators,K-12,Classroom observations of instructional practice,FALSE
Teacher-child interaction measure (PK),Results on teacher-child interaction measure (PK),Teaching Effectiveness,Staff & Educators,Early Learning,Classroom observations of instructional practice,FALSE
Teaching assignment,Course instructor (or teacher's course assignments); Teaching assignment (subject and/or grade level taught),Teaching Effectiveness,Staff & Educators,"Early Learning, K-12",Teacher credentials,FALSE
Total educational funding,Total educational funding,School Climate,Finance & Resources,"Early Learning, K-12, Postsecondary",Expenditures on workforce development programs,FALSE
Total net price of education plus interest,Total net price of education plus interest,Postsecondary Success,Financial Aid & Affordability,Postsecondary,Minimum economic return,FALSE
Transfer enrollment status,Transfer enrollment status,Postsecondary Success,Postsecondary Outcomes,Postsecondary,,,TRUE
Transfer indicator or transfer student status,Transfer indicator or transfer student status,Postsecondary Success,Postsecondary Outcomes,Postsecondary,Transfer (if applicable),FALSE
Universal screening results,Universal screening results,School Climate,Health & Wellness,"Early Learning, K-12",Mental and emotional well-being,FALSE
Urbanicity,Urbanicity,School Climate,Community Context,"Early Learning, K-12, Postsecondary, Workforce",,,TRUE
USDA Food Access Research Atlas Access Level Flag,USDA Food Access Research Atlas Access Level Flag,School Climate,Community Context,"Early Learning, K-12, Postsecondary, Workforce",Food Security,FALSE
USDA Food Security Survey ratings,Rating on USDA Food Security Survey module,School Climate,Health & Wellness,"Early Learning, K-12, Postsecondary, Workforce",Food Security,FALSE
VAM for subject specific assessment,VAM for subject specific assessment,Teaching Effectiveness,Staff & Educators,K-12,Teachers' contributions to student learning growth,FALSE
Workforce development program participation,Workforce development program participation,Workforce Transitions,Career & Technical Education (CTE),Workforce,Industry-recognized credential,FALSE
Years in current position,Years in current position,Teaching Effectiveness,Staff & Educators,"Early Learning, K-12",Educator retention,FALSE
Years of teaching experience,"Percentage of K-12 teachers with < 1 year, 1–5 years, and 5+ years of experience; Years of teaching experience",Teaching Effectiveness,Staff & Educators,K-12,Teacher experience,FALSE
