Original Data Element Name,Data Category,Updated Category,Normalized Data Element,Potential Further Normalization,Grade or Sector Variant,Roll up to Sector?,Additional Notes (Optional),(final logical name (no sector)),Proposed final
Average value of grants,Financial Support and Resources,Postsecondary Success,Average value of grants,"Average financial aid amount (including grants, scholarships, and tuition waivers)",General,,,"Average financial aid amount (including grants, scholarships, and tuition waivers)","Average financial aid amount (including grants, scholarships, and tuition waivers)"
Average value of scholarships,Financial Support and Resources,Postsecondary Success,Average value of scholarships,"Average financial aid amount (including grants, scholarships, and tuition waivers)",General,,,"Average financial aid amount (including grants, scholarships, and tuition waivers)","Average financial aid amount (including grants, scholarships, and tuition waivers)"
Average value of tuition waivers,Financial Support and Resources,Postsecondary Success,Average value of tuition waivers,"Average financial aid amount (including grants, scholarships, and tuition waivers)",General,,,"Average financial aid amount (including grants, scholarships, and tuition waivers)","Average financial aid amount (including grants, scholarships, and tuition waivers)"
CHIP eligibility status,Financial Support and Resources,School Climate,CHIP eligibility status,,General,,,CHIP eligibility status,CHIP eligibility status
CHIP enrollment,Financial Support and Resources,School Climate,CHIP enrollment,,General,,,CHIP enrollment,CHIP enrollment
Eligibility for federal rental assistance,Financial Support and Resources,School Climate,Eligibility for federal rental assistance,,General,,,Eligibility for federal rental assistance,Eligibility for federal rental assistance
FAFSA completion date,Financial Support and Resources,Postsecondary Transitions,FAFSA completion date,,General,,,FAFSA completion date,FAFSA completion date
Family eligibility for child care subsidies,Financial Support and Resources,Kindergarten Readiness,Family eligibility for child care subsidies,,General,,,Family eligibility for child care subsidies,Family eligibility for child care subsidies
Financial aid amount,Financial Support and Resources,Postsecondary Success,Financial aid amount,"Average financial aid amount (including grants, scholarships, and tuition waivers)",General,,,"Average financial aid amount (including grants, scholarships, and tuition waivers)","Average financial aid amount (including grants, scholarships, and tuition waivers)"
Median student debt,Financial Support and Resources,Postsecondary Success,Median student debt,,General,,,Median student debt,Median student debt
Medicaid eligibility status,Financial Support and Resources,School Climate,Medicaid eligibility status,,General,,,Medicaid eligibility status,Medicaid eligibility status
Medicaid enrollment,Financial Support and Resources,School Climate,Medicaid enrollment,,General,,,Medicaid enrollment,Medicaid enrollment
Receipt of child care subsidies,Financial Support and Resources,Kindergarten Readiness,Receipt of child care subsidies,,General,,,Receipt of child care subsidies,Receipt of child care subsidies
Receipt of federal rental assistance,Financial Support and Resources,School Climate,Receipt of federal rental assistance,,General,,,Receipt of federal rental assistance,Receipt of federal rental assistance
Repayment phase start date,Financial Support and Resources,Postsecondary Success,Repayment phase start date,,General,,,Repayment phase start date,Repayment phase start date
Repayment status,Financial Support and Resources,Postsecondary Success,Repayment status,,General,,,Repayment status,Repayment status
SNAP eligibility,Financial Support and Resources,School Climate,SNAP eligibility,,General,,,SNAP eligibility,SNAP eligibility
SNAP participation,Financial Support and Resources,School Climate,SNAP participation,,General,,,SNAP participation,SNAP participation
Total net price of education plus interest,Financial Support and Resources,Postsecondary Success,Total net price of education plus interest,,General,,,Total net price of education plus interest,Total net price of education plus interest
Insured status,Health and Well-being,School Climate,Insured status,,General,,,Insured status,Insured status
Number of ACEs,Health and Well-being,Social-Emotional Learning,Number of ACEs,,General,,,Number of ACEs,Number of ACEs
Physical health survey results (K-12),Health and Well-being,School Climate,Physical health surveys,,K-12,K-12,,Physical health surveys,Physical health surveys (K-12)
Physical health survey results (Postsecondary),Health and Well-being,Postsecondary Success,Physical health surveys,,Postsecondary,Postsecondary,,Physical health surveys,Physical health surveys (Postsecondary)
Physical health survey results (Workforce),Health and Well-being,Workforce Success,Physical health surveys,,Workforce,Workforce,,Physical health surveys,Physical health surveys (Workforce)
Rating on USDA Food Security Survey module,Health and Well-being,School Climate,USDA Food Security Survey ratings,,General,,,USDA Food Security Survey ratings,USDA Food Security Survey ratings
Results on mental and emotional well-being assessments,Health and Well-being,Social-Emotional Learning,Mental and emotional well-being assessments,,General,,,Mental and emotional well-being assessments,Mental and emotional well-being assessments
Scores on Health-Related Quality of Life Scale,Health and Well-being,School Climate,Health-Related Quality of Life Scale scores,,General,,,Health-Related Quality of Life Scale scores,Health-Related Quality of Life Scale scores
Instructor observation results,Instructional Quality and Practice,Teaching Effectiveness,Instructor observations,,General,,,Instructor observations,Instructor observations
Overall teacher observation score,Instructional Quality and Practice,Teaching Effectiveness,Overall teacher observation score,,General,,,Overall teacher observation score,Overall teacher observation score
"Percentage of teachers regularly using standards-aligned, culturally responsive curricula",Instructional Quality and Practice,Teaching Effectiveness,Percentage of teachers regularly using standards-aligned; culturally responsive curricula,,General,,,Percentage of teachers regularly using standards-aligned; culturally responsive curricula,Percentage of teachers regularly using standards-aligned; culturally responsive curricula
Results on instructor effectiveness student survey,Instructional Quality and Practice,Teaching Effectiveness,Teacher effectiveness student surveys,,Postsecondary,Postsecondary,,Teacher effectiveness student surveys,Teacher effectiveness student surveys (Postsecondary)
Results on teacher effectiveness student survey,Instructional Quality and Practice,Teaching Effectiveness,Teacher effectiveness student surveys,,K-12,K-12,,Teacher effectiveness student surveys,Teacher effectiveness student surveys (K-12)
Results on teacher-child interaction measure,Instructional Quality and Practice,Teaching Effectiveness,Teacher-child interaction measure,,K-12,K-12,,Teacher-child interaction measure,Teacher-child interaction measure (K-12)
Results on teacher-child interaction measure (PK),Instructional Quality and Practice,Teaching Effectiveness,Teacher-child interaction measure,,PK,PK,,Teacher-child interaction measure,Teacher-child interaction measure (PK)
Subscale observation scores,Instructional Quality and Practice,Teaching Effectiveness,Subscale observation scores,,General,,,Subscale observation scores,Subscale observation scores
Bachelor's degree completion date,Postsecondary Transition and Success,Postsecondary Success,Bachelor's degree completion date,,General,,,Bachelor's degree completion date,Bachelor's degree completion date
College selectivity level,Postsecondary Transition and Success,Postsecondary Transitions,College selectivity level,,General,,,College selectivity level,College selectivity level
Credential-seeking status,Postsecondary Transition and Success,Postsecondary Success,Credential-seeking status,,General,,,Credential-seeking status,Credential-seeking status
Credits earned in first year,Postsecondary Transition and Success,Postsecondary Success,Credits earned in first year,,General,,,Credits earned in first year,Credits earned in first year
Diploma or credential award date,Postsecondary Transition and Success,Postsecondary Success,Diploma or credential award date,,General,,,Diploma or credential award date,Diploma or credential award date
Enrollment status (current and prior years),Postsecondary Transition and Success,Postsecondary Success,Enrollment status (current and prior years),,General,,,Enrollment status (current and prior years),Enrollment status (current and prior years)
Graduate credential attainment date,Postsecondary Transition and Success,Postsecondary Success,Graduate credential attainment date,,General,,,Graduate credential attainment date,Graduate credential attainment date
Graduate program enrollment date,Postsecondary Transition and Success,Postsecondary Success,Graduate program enrollment date,,General,,,Graduate program enrollment date,Graduate program enrollment date
High school diploma type,Postsecondary Transition and Success,Postsecondary Transitions,High school diploma type,,General,,,High school diploma type,High school diploma type
High school graduation date,Postsecondary Transition and Success,Postsecondary Transitions,High school graduation date,,General,,,High school graduation date,High school graduation date
High school graduation indicator,Postsecondary Transition and Success,Postsecondary Transitions,High school graduation indicator,,General,,,High school graduation indicator,High school graduation indicator
Institution graduation rate,Postsecondary Transition and Success,Postsecondary Success,Institution graduation rate,,General,,,Institution graduation rate,Institution graduation rate
Number of credits attempted,Postsecondary Transition and Success,Postsecondary Success,Number of credits attempted,,General,,,Number of credits attempted,Number of credits attempted
Number of credits earned,Postsecondary Transition and Success,Postsecondary Success,Number of credits earned,,General,,,Number of credits earned,Number of credits earned
Post-baccalaureate program enrollment date,Postsecondary Transition and Success,Postsecondary Success,Post-baccalaureate program enrollment date,,General,,,Post-baccalaureate program enrollment date,Post-baccalaureate program enrollment date
Postsecondary Institution ID,Postsecondary Transition and Success,Postsecondary Success,Postsecondary Institution ID,,Postsecondary,Postsecondary,,Postsecondary Institution ID,Postsecondary Institution ID
Postsecondary applications submitted,Postsecondary Transition and Success,Postsecondary Transitions,Postsecondary applications submitted,,Postsecondary,Postsecondary,,Postsecondary applications submitted,Postsecondary applications submitted
Postsecondary credential attainment date,Postsecondary Transition and Success,Postsecondary Success,Postsecondary credential attainment date,,Postsecondary,Postsecondary,,Postsecondary credential attainment date,Postsecondary credential attainment date
Postsecondary credential earned,Postsecondary Transition and Success,Postsecondary Success,Postsecondary credential earned,,Postsecondary,Postsecondary,,Postsecondary credential earned,Postsecondary credential earned
Postsecondary degree program length,Postsecondary Transition and Success,Postsecondary Success,Postsecondary degree program length,,Postsecondary,Postsecondary,,Postsecondary degree program length,Postsecondary degree program length
Postsecondary enrollment date,Postsecondary Transition and Success,Postsecondary Transitions,Postsecondary enrollment date,,Postsecondary,Postsecondary,,Postsecondary enrollment date,Postsecondary enrollment date
Postsecondary enrollment date OR first-year indicator,Postsecondary Transition and Success,Postsecondary Transitions,Postsecondary enrollment date,,Postsecondary,Postsecondary,,Postsecondary enrollment date,Postsecondary enrollment date
Postsecondary enrollment status (Full time/part time),Postsecondary Transition and Success,Postsecondary Success,Postsecondary enrollment status (Full time/part time),,Postsecondary,Postsecondary,,Postsecondary enrollment status (Full time/part time),Postsecondary enrollment status (Full time/part time)
Postsecondary institution ID (current and prior years),Postsecondary Transition and Success,Postsecondary Success,Postsecondary institution ID (current and prior years),,Postsecondary,Postsecondary,,Postsecondary institution ID (current and prior years),Postsecondary institution ID (current and prior years)
Reported intent to enroll in postsecondary education,Postsecondary Transition and Success,Postsecondary Transitions,Reported intent to enroll in postsecondary education,,General,,,Reported intent to enroll in postsecondary education,Reported intent to enroll in postsecondary education
Transfer enrollment status,Postsecondary Transition and Success,Postsecondary Success,Transfer enrollment status,,General,,,Transfer enrollment status,Transfer enrollment status
Transfer indicator or transfer student status,Postsecondary Transition and Success,Postsecondary Success,Transfer indicator or transfer student status,,General,,,Transfer indicator or transfer student status,Transfer indicator or transfer student status
Enrollment in public pre-K,Program Eligibility and Enrollment,Kindergarten Readiness,Enrollment in public pre-K,,General,,,Enrollment in public pre-K,Enrollment in public pre-K
Gifted and talented participation,Program Eligibility and Enrollment,Postsecondary Transitions,Gifted and talented participation,,General,,,Gifted and talented participation,Gifted and talented participation
Kindergarten enrollment date,Program Eligibility and Enrollment,Kindergarten Readiness,Kindergarten enrollment date,,General,,,Kindergarten enrollment date,Kindergarten enrollment date
Pre-K eligbility status,Program Eligibility and Enrollment,Kindergarten Readiness,Pre-K eligbility status,,PK,PK,,Pre-K eligbility status,Pre-K eligbility status
K-12 school type,Program Quality and Standards,School Climate,K-12 school type,,General,,,K-12 school type,K-12 school type
Kindergarten program days per week,Program Quality and Standards,Kindergarten Readiness,Kindergarten program days per week,,General,,,Kindergarten program days per week,Kindergarten program days per week
Kindergarten program hours per day,Program Quality and Standards,Kindergarten Readiness,Kindergarten program hours per day,,General,,,Kindergarten program hours per day,Kindergarten program hours per day
Postsecondary institution classification,Program Quality and Standards,Postsecondary Success,Postsecondary institution classification,,Postsecondary,Postsecondary,,Postsecondary institution classification,Postsecondary institution classification
Pre-K program QRIS rating,Program Quality and Standards,Kindergarten Readiness,Pre-K program QRIS rating,,PK,PK,,Pre-K program QRIS rating,Pre-K program QRIS rating
Pre-K program days per week,Program Quality and Standards,Kindergarten Readiness,Pre-K program days per week,,PK,PK,,Pre-K program days per week,Pre-K program days per week
Pre-K program hours per day,Program Quality and Standards,Kindergarten Readiness,Pre-K program hours per day,,PK,PK,,Pre-K program hours per day,Pre-K program hours per day
Civic engagement survey results (K-12),School Climate and Engagement,Social-Emotional Learning,Civic engagement surveys,,K-12,K-12,,Civic engagement surveys,Civic engagement surveys (K-12)
Civic engagement survey results (Postsecondary),School Climate and Engagement,Postsecondary Success,Civic engagement surveys,,Postsecondary,Postsecondary,,Civic engagement surveys,Civic engagement surveys (Postsecondary)
Civic engagement survey results (Workforce),School Climate and Engagement,Workforce Success,Civic engagement surveys,,Workforce,Workforce,,Civic engagement surveys,Civic engagement surveys (Workforce)
Growth mindset survey results (K-12),School Climate and Engagement,Social-Emotional Learning,Growth mindset surveys,,K-12,K-12,,Growth mindset surveys,Growth mindset surveys (K-12)
Growth mindset survey results (Postsecondary),School Climate and Engagement,Postsecondary Success,Growth mindset surveys,,Postsecondary,Postsecondary,,Growth mindset surveys,Growth mindset surveys (Postsecondary)
Growth mindset survey results (Workforce),School Climate and Engagement,Workforce Success,Growth mindset surveys,,Workforce,Workforce,,Growth mindset surveys,Growth mindset surveys (Workforce)
Results on K-12 sense of belonging survey,School Climate and Engagement,Social-Emotional Learning,Sense of belonging surveys,,K-12,K-12,,Sense of belonging surveys,Sense of belonging surveys (K-12)
Results on Pre-K sense of belonging questionnaire,School Climate and Engagement,Kindergarten Readiness,Sense of belonging surveys,,PK,PK,,Sense of belonging surveys,Sense of belonging surveys (PK)
Results on campus climate survey (Postsecondary),School Climate and Engagement,Postsecondary Success,Campus climate surveys,,Postsecondary,Postsecondary,,Campus climate surveys,Campus climate surveys (Postsecondary)
Results on campus sense of belonging survey,School Climate and Engagement,Postsecondary Success,Sense of belonging surveys,,Postsecondary,Postsecondary,,Sense of belonging surveys,Sense of belonging surveys (Postsecondary)
Results on family engagement surveys (K-12),School Climate and Engagement,School Climate,Family engagement surveys,,K-12,K-12,,Family engagement surveys,Family engagement surveys (K-12)
Results on family engagement surveys (Pre-K),School Climate and Engagement,Kindergarten Readiness,Family engagement surveys,,PK,PK,,Family engagement surveys,Family engagement surveys (PK)
Results on school climate survey (K-12),School Climate and Engagement,School Climate,Campus climate surveys,,K-12,K-12,,Campus climate surveys,Campus climate surveys (K-12)
Results on self-management survey (K-12),School Climate and Engagement,Social-Emotional Learning,Self-management surveys,,K-12,K-12,,Self-management surveys,Self-management surveys (K-12)
Results on social awareness teacher rating,School Climate and Engagement,Social-Emotional Learning,Social awareness teacher ratings,,General,,,Social awareness teacher ratings,Social awareness teacher ratings
Results on sociocultural observational assessment,School Climate and Engagement,Social-Emotional Learning,Sociocultural observational assessments,,General,,,Sociocultural observational assessments,Sociocultural observational assessments
Results on workplace sense of belonging survey,School Climate and Engagement,Workforce Success,Sense of belonging surveys,,Workforce,,,Sense of belonging surveys,Sense of belonging surveys
Self-efficacy survey results (K-12),School Climate and Engagement,Social-Emotional Learning,Self-efficacy surveys,,K-12,K-12,,Self-efficacy surveys,Self-efficacy surveys (K-12)
Self-efficacy survey results (Postsecondary),School Climate and Engagement,Postsecondary Success,Self-efficacy surveys,,Postsecondary,Postsecondary,,Self-efficacy surveys,Self-efficacy surveys (Postsecondary)
Self-efficacy survey results (Workforce),School Climate and Engagement,Workforce Success,Self-efficacy surveys,,Workforce,Workforce,,Self-efficacy surveys,Self-efficacy surveys (Workforce)
Self-management survey results (Postsecondary),School Climate and Engagement,Postsecondary Success,Self-management surveys,,Postsecondary,Postsecondary,,Self-management surveys,Self-management surveys (Postsecondary)
Self-management survey results (Workforce),School Climate and Engagement,Workforce Success,Self-management surveys,,Workforce,Workforce,,Self-management surveys,Self-management surveys (Workforce)
Social awareness survey results (K-12),School Climate and Engagement,Social-Emotional Learning,Self-management surveys,,K-12,K-12,,Self-management surveys,Self-management surveys (K-12)
Social capital survey results (K-12),School Climate and Engagement,Social-Emotional Learning,Social capital surveys,,K-12,K-12,,Social capital surveys,Social capital surveys (K-12)
Social capital survey results (Postsecondary),School Climate and Engagement,Postsecondary Success,Social capital surveys,,Postsecondary,Postsecondary,,Social capital surveys,Social capital surveys (Postsecondary)
Social capital survey results (Workforce),School Climate and Engagement,Workforce Success,Social capital surveys,,Workforce,Workforce,,Social capital surveys,Social capital surveys (Workforce)
7th grade student status,Student Demographics,Postsecondary Transitions,Student grade level,,General,,,Student grade level,Student grade level
8th grade student status,Student Demographics,Postsecondary Transitions,Student grade level,,General,,,Student grade level,Student grade level
Age (or birth date),Student Demographics,School Climate,Age,,General,,"Numerical age as of point in time, or birth date",Age,Age
"Age group (for example, adult learners)",Student Demographics,Postsecondary Success,Age group,,General,,"Generalized category of age, e.g. adult or minor",Age group,Age group
Cohort graduation year,Student Demographics,Postsecondary Transitions,Cohort graduation year,,General,,,Cohort graduation year,Cohort graduation year
Cohort year,Student Demographics,Postsecondary Transitions,Cohort year,,General,,,Cohort year,Cohort year
Disability status,Student Demographics,School Climate,Disability status,,General,,,Disability status,Disability status
English learner,Student Demographics,School Climate,English learner status,,General,,,English learner status,English learner status
English learner classification date,Student Demographics,School Climate,English learner classification date,,General,,,English learner classification date,English learner classification date
English learner reclassification date,Student Demographics,School Climate,English learner classification date,,General,,,English learner classification date,English learner classification date
English learner status,Student Demographics,School Climate,English learner status,,General,,,English learner status,English learner status
Enrollment date,Student Demographics,School Climate,Enrollment date,,General,,,Enrollment date,Enrollment date
First-generation college student,Student Demographics,Postsecondary Transitions,First-generation college student,,General,,,First-generation college student,First-generation college student
First-time 9th grade student status,Student Demographics,Postsecondary Transitions,First-time 9th grade student status,,General,,,First-time 9th grade student status,First-time 9th grade student status
Gender,Student Demographics,School Climate,Gender,,General,,,Gender,Gender
Home language,Student Demographics,School Climate,Home language,,General,,,Home language,Home language
Income level,Student Demographics,School Climate,Income level,,General,,,Income level,Income level
Individual or family military status,Student Demographics,School Climate,Individual or family military status,,General,,,Individual or family military status,Individual or family military status
Individual with current or past child welfare involvement,Student Demographics,School Climate,Individual with current or past child welfare involvement,,General,,,Individual with current or past child welfare involvement,Individual with current or past child welfare involvement
Individuals experiencing homelessness,Student Demographics,School Climate,Individuals experiencing homelessness,,General,,,Individuals experiencing homelessness,Individuals experiencing homelessness
Justice involvement,Student Demographics,School Climate,Justice involvement,,General,,,Justice involvement,Justice involvement
LGBT status,Student Demographics,School Climate,LGBT status,,General,,,LGBT status,LGBT status
Parental education level,Student Demographics,Postsecondary Transitions,Parental education level,,General,,,Parental education level,Parental education level
Race/ethnicity,Student Demographics,School Climate,Student race/ethnicity,,General,,,Student race/ethnicity,Student race/ethnicity
Student FTE status,Student Demographics,School Climate,Student FTE status,,General,,,Student FTE status,Student FTE status
Student from migrant family household,Student Demographics,School Climate,Student from migrant family household,,General,,,Student from migrant family household,Student from migrant family household
Student grade level,Student Demographics,School Climate,Student grade level,,General,PK,,Student grade level,Student grade level (PK)
Student grade level (Grade 6),Student Demographics,Postsecondary Transitions,Student grade level,,Grade 6,K-12,,Student grade level,Student grade level (K-12)
Student grade level (Grade 8),Student Demographics,Postsecondary Transitions,Student grade level,,Grade 8,K-12,,Student grade level,Student grade level (K-12)
Student grade level (Grades 1 & 2),Student Demographics,Kindergarten Readiness,Student grade level,,Grades 1-2,K-12,,Student grade level,Student grade level (K-12)
Student grade level or year,Student Demographics,School Climate,Student grade level,,K-12,K-12,,Student grade level,Student grade level (K-12)
Student or family socioeconomic status,Student Demographics,School Climate,Student or family socioeconomic status,,General,,,Student or family socioeconomic status,Student or family socioeconomic status
Student parenting status,Student Demographics,School Climate,Student parenting status,,General,,,Student parenting status,Student parenting status
Student race/ethnicity,Student Demographics,School Climate,Student race/ethnicity,,General,,,Student race/ethnicity,Student race/ethnicity
Student socioeconomic status,Student Demographics,School Climate,Student socioeconomic status,,General,,,Student socioeconomic status,Student socioeconomic status
Urbanicity,Student Demographics,School Climate,Urbanicity,,General,,,Urbanicity,Urbanicity
Advising and counseling service utilization,Student Support Services,Postsecondary Transitions,Advising and counseling service utilization,,General,,,Advising and counseling service utilization,Advising and counseling service utilization
Date of services provided,Student Support Services,Postsecondary Transitions,Date of services provided,,General,,,Date of services provided,Date of services provided
Developmental screening results,Student Support Services,Kindergarten Readiness,Developmental screening results,,General,,,Developmental screening results,Developmental screening results
Early intervention screening outcomes (connection to services),Student Support Services,Kindergarten Readiness,Early intervention screening services referral status,,General,,,Early intervention screening services referral status,Early intervention screening services referral status
Early intervention screening results,Student Support Services,Kindergarten Readiness,Early intervention screening results,,General,,,Early intervention screening results,Early intervention screening results
Health services offered,Student Support Services,School Climate,Health services offered,,General,,,Health services offered,Health services offered
IECMHC services offered,Student Support Services,Kindergarten Readiness,IECMHC services offered,,General,,,IECMHC services offered,IECMHC services offered
Indicator of whether services were provided,Student Support Services,School Climate,Indicator of whether services were provided,,General,,,Indicator of whether services were provided,Indicator of whether services were provided
Mental health services offered,Student Support Services,School Climate,Mental health services offered,,General,,,Mental health services offered,Mental health services offered
Social services offered,Student Support Services,School Climate,Social services offered,,General,,,Social services offered,Social services offered
Universal screening results,Student Support Services,School Climate,Universal screening results,,General,,,Universal screening results,Universal screening results
College value-added,System Economic Conditions,Postsecondary Success,College value-added,,General,,,College value-added,College value-added
Expenditures per K-12 pupil,System Economic Conditions,School Climate,Expenditures per student,,K-12,K-12,,Expenditures per student,Expenditures per student (K-12)
Expenditures per Pre-K pupil,System Economic Conditions,Kindergarten Readiness,Expenditures per student,,PK,PK,,Expenditures per student,Expenditures per student (PK)
Expenditures per student (postsecondary),System Economic Conditions,Postsecondary Success,Expenditures per student,,Postsecondary,Postsecondary,,Expenditures per student,Expenditures per student (Postsecondary)
Funding dedicated to workforce development programs,System Economic Conditions,Workforce Transitions,Funding dedicated to workforce development programs,,General,,,Funding dedicated to workforce development programs,Funding dedicated to workforce development programs
Institutional expenditure per student,System Economic Conditions,Postsecondary Success,Institutional expenditure per student,,General,,,Institutional expenditure per student,Institutional expenditure per student
"PS institution graduation rate, by race/ethnicity and Pell grant receipt",Postsecondary Transition and Success,Postsecondary Success,Institution graduation rate,,General,,,Institution graduation rate,Institution graduation rate
"PS institution graduation rate, by race/ethnicity and Pell grant receipt",Financial Support and Resources,Postsecondary Success,Pell grant receipt,,General,,,,Pell grant receipt
School value-added,System Economic Conditions,School Climate,School value-added,,General,,,School value-added,School value-added
Total educational funding,System Economic Conditions,School Climate,Total educational funding,,General,,,Total educational funding,Total educational funding
Apprenticeship program enrollment date,Workforce and Career Outcomes,Workforce Transitions,Apprenticeship program enrollment date,,General,,,Apprenticeship program enrollment date,Apprenticeship program enrollment date
Average pay in county or MSA,Workforce and Career Outcomes,Workforce Success,Average pay in county or MSA,,General,,,Average pay in county or MSA,Average pay in county or MSA
Benefits availability,Workforce and Career Outcomes,Workforce Success,Benefits availability,,General,,,Benefits availability,Benefits availability
Dislocated worker status,Workforce and Career Outcomes,Workforce Transitions,Dislocated worker status,,General,,,Dislocated worker status,Dislocated worker status
EAP or mental health services provided,Workforce and Career Outcomes,Workforce Success,EAP or mental health services provided,,General,,,EAP or mental health services provided,EAP or mental health services provided
Earnings,Workforce and Career Outcomes,Workforce Success,Earnings,,General,,,Earnings,Earnings
Earnings amount,Workforce and Career Outcomes,Workforce Success,Earnings,,General,,,Earnings,Earnings
Employee income level,Workforce and Career Outcomes,Workforce Success,Employee income level,,General,,,Employee income level,Employee income level
Employee race/ethnicity,Workforce and Career Outcomes,Workforce Success,Employee race/ethnicity,,General,,,Employee race/ethnicity,Employee race/ethnicity
Employment date,Workforce and Career Outcomes,Workforce Transitions,Employment date,,General,,,Employment date,Employment date
Employment status,Workforce and Career Outcomes,Workforce Transitions,Employment status,,General,,,Employment status,Employment status
Enlistment in the military,Workforce and Career Outcomes,Workforce Transitions,Enlistment in the military,,General,,,Enlistment in the military,Enlistment in the military
Enrollment in noncredit CTE date,Workforce and Career Outcomes,Workforce Transitions,Enrollment in noncredit CTE date,,General,,,Enrollment in noncredit CTE date,Enrollment in noncredit CTE date
Enrollment in workforce training program,Workforce and Career Outcomes,Workforce Transitions,Enrollment in workforce training program,,General,,,Enrollment in workforce training program,Enrollment in workforce training program
In-demand status,Workforce and Career Outcomes,Workforce Success,In-demand status,,General,,,In-demand status,In-demand status
Industry-recognized credential attainment,Workforce and Career Outcomes,Workforce Success,Industry-recognized credential attainment,,General,,,Industry-recognized credential attainment,Industry-recognized credential attainment
Learning and development plan offered,Workforce and Career Outcomes,Workforce Success,Learning and development plan offered,,General,,,Learning and development plan offered,Learning and development plan offered
Location-adjusted cost of living in county or MSA,Workforce and Career Outcomes,Workforce Success,Location-adjusted cost of living in county or MSA,,General,,,Location-adjusted cost of living in county or MSA,Location-adjusted cost of living in county or MSA
Net worth,Workforce and Career Outcomes,Workforce Success,Net worth,,General,,,Net worth,Net worth
Occupation category,Workforce and Career Outcomes,Workforce Success,Occupation category,,General,,,Occupation category,Occupation category
On-the-job training offered,Workforce and Career Outcomes,Workforce Success,On-the-job training offered,,General,,,On-the-job training offered,On-the-job training offered
Participation in work-based learning,Workforce and Career Outcomes,Workforce Transitions,Participation in work-based learning,,General,,,Participation in work-based learning,Participation in work-based learning
Post-credential earnings,Workforce and Career Outcomes,Workforce Success,Earnings,,General,,,Earnings,Earnings
Results on job quality index,Workforce and Career Outcomes,Workforce Success,Job quality index,,General,,,Job quality index,Job quality index
Workforce development program participation,Workforce and Career Outcomes,Workforce Transitions,Workforce development program participation,,Workforce,Workforce,,Workforce development program participation,Workforce development program participation
